feature,mean_absolute_shap
Loan Percent Income,0.06477139148890879
Loan Int Rate,0.044649235789951024
Person Home Ownership Rent,0.0424690719288759
Loan Grade D,0.04180169601865662
Loan Grade A,0.030568082958795918
Person Income,0.028765694320228928
Monthly Income,0.027981581390643124
Person Home Ownership Own,0.024349797207198015
Interest Amount Proxy,0.0174252601866389
Loan Grade C,0.01649900517743982
Loan Intent Venture,0.015610758272982184
Loan Grade B,0.014734165853230646
Loan Intent Debtconsolidation,0.012515901730269811
Person Home Ownership Mortgage,0.01173242405849839
Loan Amnt,0.011387218629706515
Cb Person Default On File Y,0.010562682367686038
Loan Intent Medical,0.010189499100692714
Income Band 30K To 59K,0.009965611756233667
Loan Intent Homeimprovement,0.009741879670396133
Cb Person Default On File N,0.009091792987556193
Person Emp Length,0.008982262763190233
Employment Age Ratio,0.008637306111227006
Income Band 60K To 99K,0.00789457838838495
Income Band Under 30K,0.006938682334739626
Loan Grade E,0.006774459147430291
Loan Intent Education,0.006090829925079885
Income Band 100K Plus,0.00475660740257261
Person Age,0.0034581982707423925
Credit History Age Ratio,0.003279142174700261
Loan Intent Personal,0.0026655230545027256
Cb Person Cred Hist Length,0.0019843725966544605
Age Band Under 25,0.001190048073121769
Age Band 25 To 34,0.0010492019230047107
Loan Grade F,0.0006635408628174361
Age Band 35 To 49,0.0003176625636707417
Person Home Ownership Other,6.0303869508070764e-05
Loan Grade G,0.0
Age Band 50 Plus,0.0
